,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency
0,bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,100944.0,2015053498488,1,2015053498488,79432351350,103933.0,100875.0,-538.215915378285,-0.53035,-10452929791.580078,-0.51607,19948012.0,19948012.0,21000000.0,126080.0,-19.76212,2025-10-06T18:57:42.558Z,67.81,149089.39045,2013-07-06T00:00:00.000Z,,2025-11-13T16:53:41.136Z,-0.37742918083895793
1,ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,3339.37,404010100162,2,404010100162,39239963615,3556.04,3348.95,-60.49419042068257,-1.77931,-5865109406.336426,-1.43095,120696447.9668856,120696447.9668856,,4946.05,-31.98393,2025-08-24T19:21:03.333Z,0.432979,776868.13317,2015-10-20T00:00:00.000Z,"{'times': 43.205518437882894, 'currency': 'btc', 'percentage': 4320.551843788289}",2025-11-13T16:53:41.216Z,-1.0632319045215486
2,ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.41,145087533591,4,241346952552,5933065054,2.52,2.32,0.077507,3.31801,4616396081.0,3.28637,60107199237.0,99985774127.0,100000000000.0,3.65,-33.72118,2025-07-18T03:40:53.808Z,0.00268621,89869.85095,2014-05-22T00:00:00.000Z,,2025-11-13T16:53:39.238Z,-0.6544471761702957
3,solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,151.38,83835704927,6,92904682946,5610988155,156.94,151.29,-1.719299976721743,-1.12302,-1236369381.7637482,-1.45332,554029635.7406564,613962126.2370089,,293.31,-48.32062,2025-01-19T11:15:27.957Z,0.500801,30167.86002,2020-05-11T19:35:23.449Z,,2025-11-13T16:53:39.134Z,-0.9389494322879941
4,zcash,zec,Zcash,https://coin-images.coingecko.com/coins/images/486/large/circle-zcash-color.png?1696501740,490.27,8028775598,27,8028775598,1766670084,543.68,452.24,35.15,7.72242,553378691.0,7.40267,16383381.4155448,16383381.4155448,21000000.0,3191.93,-84.47295,2016-10-29T00:00:00.000Z,16.08,2982.14214,2024-07-05T04:22:29.321Z,,2025-11-13T16:53:39.194Z,0.2435280860579364
5,avalanche-2,avax,Avalanche,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,16.8,7203971420,32,7736065110,488876413,17.66,16.68,-0.005306533619293674,-0.03158,26827178.0,0.37379,428765263.9423595,460434363.9423595,720000000.0,144.96,-88.3664,2021-11-21T14:18:56.538Z,2.8,502.06433,2020-12-31T13:15:21.540Z,,2025-11-13T16:53:39.590Z,-0.7412136675554144
6,uniswap,uni,Uniswap,https://coin-images.coingecko.com/coins/images/12504/large/uniswap-logo.png?1720676669,7.88,4962900239,36,7878960723,883866823,8.12,7.49,0.080946,1.03841,51948955.0,1.05782,629892750.2713912,1000000000.0,1000000000.0,44.92,-82.42668,2021-05-03T05:25:04.822Z,1.03,666.24129,2020-09-17T01:20:38.214Z,,2025-11-13T16:53:39.512Z,-0.3614959471665511
7,bittensor,tao,Bittensor,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,341.69,3275766292,48,7167612049,210021167,359.46,341.21,-12.919644462862152,-3.64336,-130270338.30199242,-3.82469,9597491.0,21000000.0,21000000.0,757.6,-54.97604,2024-03-07T18:45:36.466Z,30.83,1006.40304,2023-05-14T08:57:53.732Z,,2025-11-13T16:53:39.394Z,-1.5969236410492065
8,aster-2,aster,Aster,https://coin-images.coingecko.com/coins/images/69040/large/_ASTER.png?1757326782,1.059,2139936377,64,8484656298,629302256,1.15,1.059,-0.05118813454119153,-4.61073,-125142454.5217967,-5.52486,2017700000.0,8000000000.0,8000000000.0,2.41,-55.97646,2025-09-24T11:18:14.634Z,0.099713,963.45787,2025-09-17T12:05:36.771Z,,2025-11-13T16:53:40.147Z,-2.119014183542255
9,pudgy-penguins,pengu,Pudgy Penguins,https://coin-images.coingecko.com/coins/images/52622/large/PUDGY_PENGUINS_PENGU_PFP.png?1733809110,0.01408427,886030199,115,1123770900,157553549,0.01495309,0.01408497,-0.000287868875931924,-2.00296,-16028078.845361233,-1.77683,62860396090.0,79727174059.6947,88888888888.0,0.068447,-79.37787,2024-12-17T13:05:22.873Z,0.00371517,279.93352,2025-04-09T01:31:57.832Z,,2025-11-13T16:53:41.473Z,-1.5612713660456352
10,aerodrome-finance,aero,Aerodrome Finance,https://coin-images.coingecko.com/coins/images/31745/large/token.png?1696530564,0.941418,855087848,116,1684188762,193080160,1.18,0.941308,-0.2126827738660384,-18.42845,-188025193.15656126,-18.02539,906110902.8253781,1784684233.434356,,2.32,-59.17866,2024-12-07T14:00:38.622Z,1.861e-05,5082146.6248,2023-10-17T01:23:50.860Z,,2025-11-13T16:53:41.446Z,-1.47108590850647
11,telcoin,tel,Telcoin,https://coin-images.coingecko.com/coins/images/1899/large/tel.png?1696502892,0.00609817,601437773,147,632578097,46376063,0.00671831,0.00299992,0.00309826,103.27816,316141152.0,110.81139,95077236366.71,100000000000.0,100000000000.0,0.064483,-90.03066,2021-05-11T00:32:24.043Z,6.474e-05,9830.29813,2020-03-13T02:24:47.992Z,"{'times': 5.098172816317753, 'currency': 'usd', 'percentage': 509.8172816317753}",2025-11-13T16:53:44.677Z,1.2985089763374087
12,meteora,met,Meteora,https://coin-images.coingecko.com/coins/images/69110/large/meteora.png?1757517561,0.406044,192748670,306,402548579,250761356,0.514764,0.403187,-0.06980426634266923,-14.66944,-35846434.46945009,-15.68119,477737617.182884,997737617.182884,1000000000.0,0.686913,-41.37689,2025-10-23T13:01:20.597Z,0.333194,20.85722,2025-11-05T11:00:46.852Z,,2025-11-13T16:53:37.417Z,-8.418958535550043
13,avantis,avnt,Avantis,https://coin-images.coingecko.com/coins/images/68972/large/avnt-token.png?1757134448,0.566374,146836271,372,568678985,143816955,0.614527,0.479214,0.073812,14.98539,18854876.0,14.73251,258205903.14667922,1000000000.0,1000000000.0,2.64,-78.38273,2025-09-22T00:21:56.300Z,0.187764,203.4323,2025-09-09T15:46:28.225Z,,2025-11-13T16:53:37.893Z,-1.7675473909220938
14,zcoin,firo,Firo,https://coin-images.coingecko.com/coins/images/479/large/firocoingecko.png?1696501734,2.82,50491620,703,50491848,778796,2.92,2.63,-0.08980521439614364,-3.08964,-1599143.2666086257,-3.06992,17924857.04439815,17924938.29439815,21400000.0,139.77,-97.99417,2017-12-26T00:00:00.000Z,0.279591,902.70193,2016-12-02T00:00:00.000Z,,2025-11-13T16:53:39.488Z,-0.2831151242398647
