,id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_1h_in_currency
0,bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,102128.0,2037263915956,1,2037263915956,79306368299,103933.0,100992.0,-1349.9432061591215,-1.30457,-25177210297.789795,-1.22075,19948012.0,19948012.0,21000000.0,126080.0,-18.64672,2025-10-06T18:57:42.558Z,67.81,151163.295,2013-07-06T00:00:00.000Z,,2025-11-13T15:29:00.611Z,-0.31006471501706184
1,ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,3407.27,411253861314,2,411253861314,39313011667,3556.04,3374.02,-71.81075531868419,-2.06407,-8001203869.29718,-1.90843,120696447.9668856,120696447.9668856,,4946.05,-30.70406,2025-08-24T19:21:03.333Z,0.432979,791488.4858,2015-10-20T00:00:00.000Z,"{'times': 43.605152572013814, 'currency': 'btc', 'percentage': 4360.515257201381}",2025-11-13T15:29:00.473Z,-0.7419488793458121
2,ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.47,148441856367,4,246926726085,6571453872,2.52,2.32,0.068306,2.84094,4155801245.0,2.88025,60107199237.0,99985774127.0,100000000000.0,3.65,-31.76945,2025-07-18T03:40:53.808Z,0.00268621,92519.21768,2014-05-22T00:00:00.000Z,,2025-11-13T15:29:02.623Z,0.386224718218197
3,solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,154.14,85649378923,6,94914552228,5958741612,157.74,151.65,-3.603786607293955,-2.28457,-1995969806.108963,-2.27733,554029677.3836089,613962159.2923064,,293.31,-47.18058,2025-01-19T11:15:27.957Z,0.500801,30835.56412,2020-05-11T19:35:23.449Z,,2025-11-13T15:29:02.446Z,0.33403622898867974
4,zcash,zec,Zcash,https://coin-images.coingecko.com/coins/images/486/large/circle-zcash-color.png?1696501740,492.9,8074866888,27,8074866888,1766379097,543.68,448.7,34.51,7.52875,569823344.0,7.59254,16383381.4155448,16383381.4155448,21000000.0,3191.93,-84.5152,2016-10-29T00:00:00.000Z,16.08,2973.75546,2024-07-05T04:22:29.321Z,,2025-11-13T15:29:02.702Z,1.6032479618473965
5,sui,sui,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290,2.01,7431228416,31,20186284683,830610337,2.04,1.95,-0.02366192995143601,-1.16153,-69631078.59873676,-0.92831,3681325480.198332,10000000000.0,10000000000.0,5.35,-62.22832,2025-01-04T22:56:18.063Z,0.364846,453.51754,2023-10-19T10:40:30.078Z,,2025-11-13T15:29:02.704Z,0.12819273011742321
6,uniswap,uni,Uniswap,https://coin-images.coingecko.com/coins/images/12504/large/uniswap-logo.png?1720676669,8.01,5045824858,36,8010609514,972311753,8.12,7.49,0.00344863,0.0431,-48590637.83468056,-0.9538,629892750.2713912,1000000000.0,1000000000.0,44.92,-82.13592,2021-05-03T05:25:04.822Z,1.03,678.91907,2020-09-17T01:20:38.214Z,,2025-11-13T15:29:02.458Z,3.654844749748553
7,internet-computer,icp,Internet Computer,https://coin-images.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1696514180,6.07,3287239851,49,3287239851,432455697,6.61,5.86,-0.05112599612423985,-0.83486,-19907123.73325634,-0.60194,540052772.2575119,540615762.6949916,,700.65,-99.12818,2021-05-10T16:05:53.653Z,2.23,173.72507,2025-10-10T21:26:36.019Z,,2025-11-13T15:29:02.488Z,-0.3619289464246232
8,aster-2,aster,Aster,https://coin-images.coingecko.com/coins/images/69040/large/_ASTER.png?1757326782,1.098,2233230022,62,8854557255,689561758,1.15,1.083,-0.04626337458152485,-4.04235,-102642772.42502594,-4.39419,2017700000.0,8000000000.0,8000000000.0,2.41,-54.39054,2025-09-24T11:18:14.634Z,0.099713,1001.76839,2025-09-17T12:05:36.771Z,,2025-11-13T15:29:03.464Z,0.8123743512943334
9,pudgy-penguins,pengu,Pudgy Penguins,https://coin-images.coingecko.com/coins/images/52622/large/PUDGY_PENGUINS_PENGU_PFP.png?1733809110,0.01446278,909364337,115,1153366117,180536685,0.01512602,0.01408497,-0.000660550256000933,-4.36776,-40784805.27049041,-4.29246,62860396090.0,79727176455.68433,88888888888.0,0.068447,-78.8519,2024-12-17T13:05:22.873Z,0.00371517,289.62377,2025-04-09T01:31:57.832Z,,2025-11-13T15:29:03.336Z,0.3628313205389296
